gene_id	gene_type	overlap_counts	overlap_fraction	overlap_other
ENSG00000223972.5	transcribed_unprocessed_pseudogene	1	0.001968503937007874	True
ENSG00000227232.5	unprocessed_pseudogene	3	0.005802452855070552	True
ENSG00000278267.1	miRNA	1	1.0	True
ENSG00000243485.3	lincRNA	2	0.09839228295819935	True
ENSG00000274890.1	miRNA	1	1.0	True
ENSG00000237613.2	lincRNA	0	0.0	False
ENSG00000268020.3	unprocessed_pseudogene	0	0.0	False
ENSG00000240361.1	unprocessed_pseudogene	0	0.0	False
ENSG00000186092.4	protein_coding	0	0.0	False
ENSG00000238009.5	lincRNA	2	0.09570541100207076	True
ENSG00000239945.1	lincRNA	1	1.0	True
ENSG00000233750.3	processed_pseudogene	1	0.7079506691157177	True
ENSG00000268903.1	processed_pseudogene	0	0.0	False
ENSG00000269981.1	processed_pseudogene	0	0.0	False
ENSG00000239906.1	antisense	0	0.0	False
ENSG00000241860.5	processed_transcript	2	0.03649499814746202	True
ENSG00000222623.1	snRNA	1	1.0	True
ENSG00000241599.1	lincRNA	1	1.0	True
ENSG00000279928.1	protein_coding	0	0.0	False
ENSG00000279457.2	protein_coding	1	0.0043509318786934216	True
ENSG00000273874.1	miRNA	1	1.0	True
ENSG00000275135.1	miRNA	0	0.0	False
ENSG00000228463.7	lincRNA	1	0.011504112215550734	True
ENSG00000241670.3	processed_pseudogene	1	1.0	True
ENSG00000236679.2	processed_pseudogene	0	0.0	False
ENSG00000236743.1	lincRNA	1	0.35857267188859876	True
ENSG00000236601.1	lincRNA	2	0.16635022637651525	True
ENSG00000237094.10	lincRNA	6	0.04855829932172534	True
ENSG00000269732.1	processed_pseudogene	1	1.0	True
ENSG00000278566.1	protein_coding	1	1.0	True
ENSG00000224813.2	transcribed_unprocessed_pseudogene	1	1.0	True
ENSG00000233653.3	processed_pseudogene	1	1.0	True
ENSG00000250575.1	unprocessed_pseudogene	1	1.0	True
ENSG00000278757.1	snRNA	0	0.0	False
ENSG00000231709.1	lincRNA	1	0.3344155844155844	True
ENSG00000235146.2	lincRNA	2	0.15954615492365878	True
ENSG00000239664.2	lincRNA	1	0.10344827586206896	True
ENSG00000230021.6	lincRNA	13	0.08676006522215282	True
ENSG00000223659.1	lincRNA	1	1.0	True
ENSG00000225972.1	unprocessed_pseudogene	1	1.0	True
ENSG00000225630.1	unprocessed_pseudogene	1	1.0	True
ENSG00000276171.1	miRNA	1	1.0	True
ENSG00000237973.1	unprocessed_pseudogene	2	1.0	True
ENSG00000278791.1	miRNA	2	1.0	True
ENSG00000229344.1	unprocessed_pseudogene	1	1.0	True
ENSG00000240409.1	unprocessed_pseudogene	2	1.0	True
ENSG00000248527.1	unprocessed_pseudogene	2	1.0	True
ENSG00000198744.5	unprocessed_pseudogene	1	1.0	True
ENSG00000268663.1	processed_pseudogene	1	1.0	True
